time/fps,time/time_elapsed,time/total timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
998,1,1327,-4104.1692286,10,132.7,,,,
998,2,2425,-3706.9084572,20,121.25,,,,
1007,3,3448,-3293.399448766667,30,114.93333333333334,,,,
491,9,4586,-4267.8599043,40,114.65,146.77196992942817,0.0001,27.423365486346608,493
283,20,5667,-6489.15121492,50,113.34,5.241909045172155,0.0001,54.31728633614473,1692
221,30,6785,-7196.91376375,60,113.08333333333333,2.7936793196201326,0.0001,69.8664273071289,2740
185,43,8096,-6543.625581457141,70,115.65714285714286,4.817596962653011,0.0001,59.96752126205371,4095
174,52,9120,-6059.031474875001,80,114.0,6.985028515237687,0.0001,59.915703539262736,5041
159,65,10502,-5628.568502633333,90,116.68888888888888,10.212936572661766,0.0001,55.046338747464695,6565
156,73,11575,-5412.5918646400005,100,115.75,13.283247071840643,0.0001,53.96634240377517,7417
147,85,12618,-5187.977385020001,110,112.91,16.398885224617782,0.0001,53.17480094935184,8779
146,92,13577,-5068.8784412,120,111.52,19.556772535229907,0.0001,52.48308730322467,9425
139,105,14668,-5285.61191139,130,112.2,24.972829904712615,0.0001,53.196713693824734,10667
138,114,15922,-5358.68495333,140,113.36,30.76260547765664,0.0001,55.686194453920635,11710
130,131,17161,-4345.665608710001,150,114.94,41.01131775595925,0.0001,58.327207642216834,13196
128,142,18343,-3648.7625849399997,160,115.58,44.56482257540264,0.0001,58.54072237771655,14243
125,155,19527,-3678.2680634099997,170,114.31,47.780908860433264,0.0001,58.62305342669979,15598
125,164,20665,-3668.86202528,180,115.45,49.65677746012807,0.0001,58.834473475813866,16564
122,179,21942,-3833.974631769999,190,114.4,49.38017017068997,0.0001,58.87766021943428,18082
124,183,22881,-3780.5062793999996,200,113.06,53.832433786736914,0.0001,58.63893876592797,18482
119,200,24052,-3877.6647372600005,210,114.34,47.689874943221334,0.0001,59.544949764675565,20090
119,209,25049,-3848.14760681,220,114.72,52.69945172488396,0.0001,59.82597644223368,20950
118,220,26126,-3737.25706079,230,114.58,44.98059122926098,0.0001,60.547310741877155,22175
118,231,27476,-3232.17197082,240,115.54,49.69927003709797,0.0001,60.55471564072829,23258
117,244,28752,-2966.3031738299997,250,115.91,49.62386818163791,0.0001,61.097997348800845,24750
117,254,29784,-2759.3903741399995,260,114.41,54.170587432557255,0.0001,60.88805984644498,25639
115,269,31082,-2819.34727541,270,115.55,47.41354173808903,0.0001,61.85930890683775,27134
115,277,32102,-2689.76689746,280,114.37,52.034387224250366,0.0001,62.14702406383696,27901
114,289,33088,-2471.03112911,290,111.46,48.23774442996009,0.0001,62.5953872836366,29277
115,298,34410,-2347.97847721,300,115.29,39.003756233457636,0.0001,62.028929346935755,30146
114,310,35482,-2212.05002747,310,114.3,56.272456177613066,0.0001,62.454903731109404,31512
114,320,36584,-2229.60210181,320,115.35,50.27200521122325,0.0001,62.91938409191823,32496
113,332,37644,-2104.9709714399996,330,115.18,52.76466689840093,0.0001,63.445226477204464,33822
113,339,38503,-2022.6042243499996,340,110.27,56.379427018539765,0.0001,64.23904932167635,34504
112,349,39279,-1861.97367102,350,105.27,68.56758735390835,0.0001,64.37881576374014,35521
113,357,40458,-1841.4917823799997,360,106.74,62.576495744162536,0.0001,64.52990251277834,36348
112,369,41529,-1906.3939134799998,370,104.47,57.98503515737898,0.0001,65.01983656602748,37544
111,379,42425,-1920.81492113,380,103.23,46.51729536090385,0.0001,66.65985718640414,38416
111,387,43209,-1863.79156585,390,101.21,62.01141946331451,0.0001,67.05522482018722,39405
111,396,44275,-1788.2437479899995,400,98.65,81.71136637176237,0.0001,67.10102310488301,40228
111,406,45166,-1803.9476670800002,410,96.84,78.00546018325072,0.0001,67.85676666504558,41342
111,417,46303,-1827.76251667,420,97.19,87.69045591539191,0.0001,68.55585840506147,42367
110,425,47180,-1710.8173252399997,430,95.36,75.03176911273347,0.0001,68.77697567939758,43252
111,435,48346,-1798.02815349,440,98.43,68.59256016704398,0.0001,69.38794485215217,44161
110,448,49513,-1943.29380255,450,102.34,83.58009172921042,0.0001,70.38015037359193,45534
110,458,50722,-2008.96663769,460,102.64,68.78809238797011,0.0001,71.40409376454907,46454
110,468,51582,-1767.8987142100002,470,100.53,68.64368488327149,0.0001,72.17888063000095,47618
110,476,52609,-1847.9043855299997,480,101.84,90.51390588190648,0.0001,72.53277778625488,48425
109,490,53542,-1984.4504620799996,490,103.33,66.51042870713468,0.0001,74.20362508940005,49731
109,500,54700,-2085.1124208500005,500,104.25,47.26253556253641,0.0001,74.55834577772353,50581
108,513,55894,-2226.17137643,510,107.28,82.6034807406905,0.0001,75.87789261828568,52069
108,521,56798,-2193.56914968,520,104.95,123.41539164707422,0.0001,76.77311399907016,52821
108,532,58015,-2391.93866636,530,108.35,72.42075938545167,0.0001,77.53349390625954,54015
109,541,59075,-2213.4248082100003,540,107.29,102.19728171117774,0.0001,78.41133946806329,54930
108,553,60090,-2056.15614374,550,105.77,102.163918253845,0.0001,78.67833806954178,56215
109,560,61158,-2016.2335383499997,560,104.36,153.07679678785613,0.0001,79.24697220055765,57017
108,574,62357,-2064.5737125299997,570,107.75,102.35079400390603,0.0001,80.0472400798354,58537
108,582,63437,-1950.3833578299998,580,108.28,125.33028905409095,0.0001,80.35188467525741,59380
108,595,64664,-1897.94654899,590,111.22,121.77531845765209,0.0001,81.24616217719183,60777
109,604,66015,-2014.8319955299999,600,113.15,124.76288442682512,0.0001,82.16568756103516,61690
