time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
13500,143,270,50.0,93,-281.94020988000005,0.0001,0.02291742792353034,9400,5.761663851737976
14000,142,280,50.0,98,-276.52937147,0.0001,0.020618473715148865,9800,5.841747908592224
14500,139,290,50.0,103,-266.3058528,0.0001,0.020209146942943335,10400,5.804047751426697
15000,139,300,50.0,107,-267.73592469000005,0.0001,0.021583263925276697,10800,5.900466012954712
15500,136,310,50.0,113,-272.00118612999995,0.0001,0.01902461762074381,11400,5.9505343961715695
16000,136,320,50.0,116,-280.29981987,0.0001,0.01768343646544963,11800,5.996884155273437
16500,135,330,50.0,122,-275.27169588,0.0001,0.01577376856468618,12400,6.076210246086121
17000,135,340,50.0,125,-272.43992524999993,0.0001,0.019196271309629084,12800,6.072387614250183
17500,132,350,50.0,132,-266.87970945,0.0001,0.016933367466554047,13400,6.097511148452758
18000,132,360,50.0,136,-266.96512961999997,0.0001,0.01750684782862663,13800,6.173296313285828
18500,130,370,50.0,141,-264.37096180000003,0.0001,0.017237308006733655,14400,6.192888016700745
19000,130,380,50.0,145,-267.84308898,0.0001,0.01236755698453635,14800,6.228011302947998
19500,129,390,50.0,150,-267.36972785,0.0001,0.01389724985230714,15400,6.257989854812622
20000,129,400,50.0,154,-265.56597093,0.0001,0.01990525460569188,15800,6.3216643810272215
20500,127,410,50.0,160,-256.0717447100001,0.0001,0.016691444895695896,16400,6.347625226974487
21000,128,420,50.0,163,-246.11838549,0.0001,0.016712263775989413,16800,6.38578094959259
21500,127,430,50.0,169,-236.61206547999998,0.0001,0.011139963085297496,17400,6.356362586021423
22000,127,440,50.0,173,-235.79138805999995,0.0001,0.008685883332509548,17800,6.402857761383057
22500,126,450,50.0,178,-231.97910057999997,0.0001,0.012039243543986231,18400,6.40372362613678
23000,126,460,50.0,182,-219.84377488,0.0001,0.01429427216295153,18800,6.4495570182800295
23500,125,470,50.0,187,-222.36029012999998,0.0001,0.01260849401121959,19400,6.490814371109009
24000,125,480,50.0,191,-230.10176382999998,0.0001,0.011176827873568981,19800,6.557197918891907
24500,124,490,50.0,196,-236.55766560999996,0.0001,0.010641714811790735,20400,6.6664208841323855
25000,124,500,50.0,200,-233.09524083000005,0.0001,0.015495192718226462,20800,6.725679454803466
25500,123,510,50.0,206,-231.25285954000003,0.0001,0.011275865675415844,21400,6.764805603027344
26000,123,520,50.0,210,-233.81640926000003,0.0001,0.011434039261657744,21800,6.829878497123718
26500,122,530,50.0,216,-246.90106271000002,0.0001,0.039299436546862125,22400,6.895137586593628
27000,121,540,50.0,221,-243.53005851,0.0001,0.011460475425701588,22800,6.927412056922913
27500,120,550,50.0,227,-246.58591338000002,0.0001,0.07896599168889225,23400,7.005230083465576
28000,121,560,50.0,231,-249.77915148000002,0.0001,0.01825378440786153,23800,7.040665159225464
28500,120,570,50.0,236,-249.07615068000004,0.0001,0.013079602583311499,24400,7.096524868011475
29000,120,580,50.0,240,-229.27578832999998,0.0001,0.021143098035827278,24800,7.110875515937805
29500,120,590,50.0,245,-228.55322679000005,0.0001,0.016073956303298473,25400,7.201607389450073
30000,120,600,50.0,249,-232.41750666999997,0.0001,0.018861402468755843,25800,7.29349928855896
30500,119,610,50.0,254,-239.87752512999998,0.0001,0.015212040189653634,26400,7.338015894889832
31000,119,620,50.0,258,-240.23300507000008,0.0001,0.05758748538326472,26800,7.458055696487427
31500,119,630,50.0,263,-228.13848398,0.0001,0.016338445651344954,27400,7.461923723220825
32000,119,640,50.0,267,-234.38825257999997,0.0001,0.017949311286211012,27800,7.518817214965821
32500,119,650,50.0,272,-237.35792496000002,0.0001,0.015074905697256327,28400,7.620177316665649
33000,119,660,50.0,276,-226.82750234000002,0.0001,0.012423546803183853,28800,7.646534986495972
33500,118,670,50.0,281,-223.24752726999998,0.0001,0.014136535320430995,29400,7.662910833358764
34000,119,680,50.0,285,-228.11433778999998,0.0001,0.027502128863707186,29800,7.74668134689331
34500,118,690,50.0,290,-219.69365683999996,0.0001,0.014048442984931171,30400,7.770316390991211
35000,118,700,50.0,295,-209.57825594999997,0.0001,0.01197750455699861,30800,7.8191645097732545
35500,118,710,50.0,300,-203.49191217999996,0.0001,0.011626828140579163,31400,7.848001790046692
36000,118,720,50.0,304,-197.27488201,0.0001,0.012983680525794626,31800,7.8976365756988525
36500,117,730,50.0,309,-200.38264234999994,0.0001,0.04693582980893552,32400,7.948402147293091
37000,118,740,50.0,313,-201.10152286000002,0.0001,0.02932851928751916,32800,8.072087626457215
37500,117,750,50.0,318,-200.71042528999996,0.0001,0.09057294317521154,33400,8.099257402420044
38000,117,760,50.0,322,-212.27332459000004,0.0001,0.01940340400673449,33800,8.181803407669067
38500,117,770,50.0,327,-213.26612115999995,0.0001,0.012965346104465425,34400,8.21255919933319
39000,117,780,50.0,331,-211.71580011000003,0.0001,0.016271179667674007,34800,8.277198371887208
39500,117,790,50.0,337,-210.08661722999997,0.0001,0.03065769894979894,35400,8.32085021018982
40000,117,800,50.0,340,-214.52208182999996,0.0001,0.014750996106304228,35800,8.384674825668334
40500,117,810,50.0,346,-210.51530978000002,0.0001,0.1314217640180141,36400,8.451967535018921
41000,117,820,50.0,350,-213.12041987,0.0001,0.04073073979467154,36800,8.49303316116333
41500,116,830,50.0,356,-211.70449158999998,0.0001,0.02318622966296971,37400,8.522186231613158
42000,116,840,50.0,359,-207.30445733,0.0001,0.016587945544160904,37800,8.562419519424438
42500,116,850,50.0,365,-201.16201426,0.0001,0.01618432814721018,38400,8.651981649398804
43000,116,860,50.0,368,-193.67569357999997,0.0001,0.053164372155442834,38800,8.695361309051513
43500,116,870,50.0,373,-190.42364380000004,0.0001,0.05318206617143005,39400,8.762208156585693
44000,116,880,50.0,377,-195.42637072999995,0.0001,0.017298328089527786,39800,8.782303304672242
44500,116,890,50.0,382,-198.24720682,0.0001,0.017205238537862898,40400,8.847126541137696
45000,116,900,50.0,386,-192.54469094,0.0001,0.0545024331798777,40800,8.891059560775757
45500,115,910,50.0,392,-200.58568200999997,0.0001,0.016706374259665608,41400,8.98998447418213
46000,116,920,50.0,396,-197.29995130999998,0.0001,0.034411611100658775,41800,9.046127882003784
46500,115,930,50.0,401,-197.25591731999998,0.0001,0.018900272008031606,42400,9.111981563568115
47000,115,940,50.0,406,-190.36336718,0.0001,0.096349714724347,42800,9.137575674057008
47500,115,950,50.0,411,-189.15390112,0.0001,0.13681391406804322,43400,9.16196593284607
48000,115,960,50.0,415,-196.34123992999994,0.0001,0.01857168996706605,43800,9.202677059173585
48500,115,970,50.0,421,-198.62714845,0.0001,0.05194985014386475,44400,9.328128290176391
49000,115,980,50.0,425,-195.00246245000002,0.0001,0.017934747477993368,44800,9.368456001281737
49500,115,990,50.0,430,-196.46118654999995,0.0001,0.01999647293239832,45400,9.427395391464234
50000,115,1000,50.0,434,-202.10283627999996,0.0001,0.02346230361610651,45800,9.493746881484986
50500,114,1010,50.0,439,-194.43472325,0.0001,0.09099896688945591,46400,9.598737602233888
51000,115,1020,50.0,443,-199.04681765999993,0.0001,0.1201894083339721,46800,9.620956687927245
51500,114,1030,50.0,448,-203.34392264000005,0.0001,0.020812579812482,47400,9.719094772338867
52000,114,1040,50.0,452,-202.36412858999995,0.0001,0.02324948301538825,47800,9.757757787704469
52500,114,1050,50.0,458,-207.38504532000002,0.0001,0.021846256786957383,48400,9.849347486495972
53000,114,1060,50.0,461,-203.38007982,0.0001,0.020525601319968702,48800,9.9026123046875
53500,114,1070,50.0,467,-206.71437277,0.0001,0.01999962918460369,49400,9.988378095626832
54000,114,1080,50.0,470,-203.09945931000001,0.0001,0.021150811528787016,49800,9.989307832717895
