time/fps,time/episodes,time/time_elapsed,time/total timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
131,630,239,31500,-209.77576661,50.0,0.06006815484724939,0.0001,27400,7.981780986785889
131,640,242,32000,-213.84848945,50.0,0.03489608565811068,0.0001,27800,8.026308255195618
131,650,247,32500,-221.14030056,50.0,0.06674940818920731,0.0001,28400,8.136289401054382
131,660,250,33000,-219.66278723000008,50.0,0.04822133197449148,0.0001,28800,8.2028986120224
130,670,256,33500,-219.22632449999998,50.0,0.05027698640711606,0.0001,29400,8.23780860900879
130,680,259,34000,-233.48331549,50.0,0.04989468598738313,0.0001,29800,8.31963050365448
130,690,264,34500,-236.23065517999996,50.0,0.04638646511826664,0.0001,30400,8.427754707336426
130,700,268,35000,-234.13118201999998,50.0,0.018578518754802643,0.0001,30800,8.441730251312256
129,710,273,35500,-233.87591217999997,50.0,0.03213480903767049,0.0001,31400,8.54415623664856
130,720,276,36000,-225.93761002,50.0,0.028897016528062522,0.0001,31800,8.573892545700073
129,730,282,36500,-232.06983486000001,50.0,0.10446212614886463,0.0001,32400,8.61394733428955
129,740,285,37000,-229.34448727999998,50.0,0.10783010111190379,0.0001,32800,8.691697301864624
129,750,290,37500,-224.53700769000002,50.0,0.08025358414277434,0.0001,33400,8.74888445854187
129,760,293,38000,-221.685887,50.0,0.048955719908699395,0.0001,33800,8.804482889175414
128,770,298,38500,-217.94450603,50.0,0.015123214991763233,0.0001,34400,8.869263048171996
129,780,301,39000,-203.26590416000002,50.0,0.01619225343223661,0.0001,34800,8.908821220397948
128,790,306,39500,-202.55012442000003,50.0,0.14770690841600298,0.0001,35400,8.930713396072388
128,800,310,40000,-201.38774437000004,50.0,0.15993628327734769,0.0001,35800,9.016054067611694
128,810,315,40500,-201.03084803000002,50.0,0.050446097310632466,0.0001,36400,9.08981816291809
128,820,318,41000,-207.90211747,50.0,0.09684350199997425,0.0001,36800,9.115279245376588
128,830,323,41500,-205.67588715,50.0,0.05444713593460619,0.0001,37400,9.203519954681397
128,840,326,42000,-200.37603514000003,50.0,0.05545198696665466,0.0001,37800,9.260071992874146
128,850,331,42500,-196.22710653000004,50.0,0.01703323972877115,0.0001,38400,9.279572038650512
128,860,335,43000,-198.9169602,50.0,0.01670446873176843,0.0001,38800,9.299063148498535
127,870,340,43500,-199.24694591000002,50.0,0.051218731617555024,0.0001,39400,9.414020385742187
128,880,343,44000,-203.23489772999997,50.0,0.09456465539522468,0.0001,39800,9.460220355987548
127,890,348,44500,-206.3558132,50.0,0.15826258539222182,0.0001,40400,9.564194469451904
127,900,351,45000,-203.20598794999998,50.0,0.017356014936231078,0.0001,40800,9.604307546615601
127,910,356,45500,-205.75507693000003,50.0,0.015959519650787114,0.0001,41400,9.701157121658325
127,920,359,46000,-195.43650892000005,50.0,0.015932914740405976,0.0001,41800,9.684528665542603
127,930,364,46500,-191.86635336999996,50.0,0.01726632423233241,0.0001,42400,9.769444599151612
127,940,368,47000,-188.62258946999998,50.0,0.16068425321020186,0.0001,42800,9.775028324127197
127,950,372,47500,-188.08936912,50.0,0.09845541781745851,0.0001,43400,9.821869392395019
127,960,376,48000,-178.86987342,50.0,0.1919980075675994,0.0001,43800,9.815706901550293
127,970,381,48500,-182.87354158000002,50.0,0.021607326017692684,0.0001,44400,9.921508693695069
127,980,384,49000,-181.16254046999995,50.0,0.030662220772355794,0.0001,44800,9.960244255065918
126,990,390,49500,-174.29328915000002,50.0,0.06054666260257363,0.0001,45400,9.9718372631073
126,1000,393,50000,-172.76773811999996,50.0,0.044699702039361,0.0001,45800,10.064847059249878
126,1010,399,50500,-171.61188717999997,50.0,0.060046837851405147,0.0001,46400,10.076680765151977
126,1020,403,51000,-180.27225958,50.0,0.1493681022617966,0.0001,46800,10.193562030792236
126,1030,408,51500,-181.54120805000002,50.0,0.01880144455470145,0.0001,47400,10.198050022125244
125,1040,413,52000,-190.51422199,50.0,0.08743131914176047,0.0001,47800,10.268715448379517
125,1050,417,52500,-189.54217318,50.0,0.01651961702853441,0.0001,48400,10.346393690109252
125,1060,421,53000,-193.51005571,50.0,0.018116964595392346,0.0001,48800,10.400577430725098
125,1070,426,53500,-189.80105549,50.0,0.02313951966352761,0.0001,49400,10.48992280960083
125,1080,429,54000,-190.90318122,50.0,0.01810464681126177,0.0001,49800,10.517250022888184
125,1090,434,54500,-191.05857617,50.0,0.24520889133214951,0.0001,50400,10.624491319656372
125,1100,438,55000,-191.55845173999998,50.0,0.07726185300387442,0.0001,50800,10.6104669380188
125,1110,443,55500,-189.497659,50.0,0.12346288781613111,0.0001,51400,10.732336101531983
125,1120,446,56000,-188.30481679000002,50.0,0.019830795088782906,0.0001,51800,10.737492198944091
125,1130,451,56500,-194.01004367999997,50.0,0.01822863208130002,0.0001,52400,10.834937219619752
125,1140,455,57000,-186.41115714000003,50.0,0.018428590120747684,0.0001,52800,10.852163162231445
124,1150,460,57500,-190.80014629999997,50.0,0.08637056767009199,0.0001,53400,10.929844236373901
124,1160,464,58000,-194.14835609999997,50.0,0.08784972805529832,0.0001,53800,11.044772424697875
124,1170,469,58500,-191.62405700999997,50.0,0.028019307544454933,0.0001,54400,11.043933801651
124,1180,472,59000,-188.77792892000002,50.0,0.15342717867344619,0.0001,54800,11.120373764038085
124,1190,477,59500,-190.46968427,50.0,0.019458880312740803,0.0001,55400,11.184901065826416
124,1200,481,60000,-189.0526327,50.0,0.019164222618564965,0.0001,55800,11.17336217880249
124,1210,485,60500,-192.18364725,50.0,0.020066399527713656,0.0001,56400,11.290491456985473
124,1220,489,61000,-191.14983555000003,50.0,0.2089334720466286,0.0001,56800,11.342631025314331
124,1230,494,61500,-185.43242444999998,50.0,0.0629724945127964,0.0001,57400,11.433170938491822
124,1240,497,62000,-187.12908924999996,50.0,0.08716999664902687,0.0001,57800,11.449377002716064
124,1250,502,62500,-181.3316603,50.0,0.020114129446446895,0.0001,58400,11.555500211715698
124,1260,505,63000,-180.00374902999997,50.0,0.019471591422334313,0.0001,58800,11.604368963241576
124,1270,510,63500,-182.07155235000002,50.0,0.02101093653589487,0.0001,59400,11.668841218948364
124,1280,514,64000,-186.46768291999996,50.0,0.2171008989214897,0.0001,59800,11.78699098587036
124,1290,519,64500,-189.13622816999998,50.0,0.021617441270500422,0.0001,60400,11.827616119384766
124,1300,522,65000,-190.80472507,50.0,0.021162587739527224,0.0001,60800,11.825851430892945
124,1310,527,65500,-194.05590976000002,50.0,0.023842884488403798,0.0001,61400,11.916806001663208
124,1320,531,66000,-191.87287329,50.0,0.022360534071922303,0.0001,61800,12.018533277511597
123,1330,536,66500,-194.49356079,50.0,0.1282395140361041,0.0001,62400,12.052569007873535
124,1340,540,67000,-198.67190507000004,50.0,0.0973522973805666,0.0001,62800,12.17874568939209
123,1350,545,67500,-198.10153885,50.0,0.023606051849201323,0.0001,63400,12.178859071731567
123,1360,548,68000,-196.88969253,50.0,0.02215627451427281,0.0001,63800,12.21302381515503
123,1370,553,68500,-196.34355824,50.0,0.02323836265131831,0.0001,64400,12.345527858734131
123,1380,557,69000,-192.77360348,50.0,0.05217200493440032,0.0001,64800,12.37686806678772
123,1390,562,69500,-193.51256335,50.0,0.02396504594013095,0.0001,65400,12.479794187545776
123,1400,565,70000,-197.84869238,50.0,0.02502240111120045,0.0001,65800,12.5148362159729
123,1410,570,70500,-190.12872117000003,50.0,0.03684445408172905,0.0001,66400,12.615406970977784
123,1420,574,71000,-194.19292393000003,50.0,0.025052543971687557,0.0001,66800,12.64047402381897
123,1430,579,71500,-193.68716152000002,50.0,0.02374934609979391,0.0001,67400,12.731848974227905
123,1440,582,72000,-195.03569113,50.0,0.024620882542803882,0.0001,67800,12.811608171463012
123,1450,588,72500,-195.08095023,50.0,0.026120809940621256,0.0001,68400,12.864777765274049
123,1460,591,73000,-196.57307274,50.0,0.16499577806331217,0.0001,68800,12.938830900192261
123,1470,596,73500,-193.92331523000001,50.0,0.039650288335978986,0.0001,69400,12.988152561187745
123,1480,600,74000,-194.61091149,50.0,0.02504912973381579,0.0001,69800,13.033517475128173
123,1490,605,74500,-191.84489534999997,50.0,0.02637303330935538,0.0001,70400,13.123212804794312
123,1500,609,75000,-185.67113253,50.0,0.02706818502396345,0.0001,70800,13.225625200271606
122,1510,615,75500,-187.1396066,50.0,0.2531480140052736,0.0001,71400,13.294149141311646
122,1520,618,76000,-181.20166301999998,50.0,0.04249190133064985,0.0001,71800,13.322099304199218
122,1530,623,76500,-184.04433599000004,50.0,0.026885421089828013,0.0001,72400,13.40135618209839
122,1540,627,77000,-179.78359020999997,50.0,0.026963267726823687,0.0001,72800,13.415187587738037
122,1550,632,77500,-185.08731091,50.0,0.030427641989663242,0.0001,73400,13.492456970214844
122,1560,635,78000,-180.60347273,50.0,0.031048304829746486,0.0001,73800,13.553774690628051
122,1570,640,78500,-185.18117859000006,50.0,0.03481426582671702,0.0001,74400,13.631911153793334
122,1580,643,79000,-182.98535151,50.0,0.03859769687056541,0.0001,74800,13.732989492416381
122,1590,648,79500,-186.29561497999998,50.0,0.15284962591715157,0.0001,75400,13.77326265335083
122,1600,652,80000,-190.18502373000004,50.0,0.12290394356474281,0.0001,75800,13.85441123008728
122,1610,657,80500,-190.75391222999994,50.0,0.02835972218774259,0.0001,76400,13.96326286315918
122,1620,660,81000,-190.50481260999996,50.0,0.028321489272639156,0.0001,76800,13.98272647857666
122,1630,666,81500,-183.28333458,50.0,0.03112443370744586,0.0001,77400,14.029102210998536
122,1640,669,82000,-178.49121277999996,50.0,0.0342161759827286,0.0001,77800,14.10931788444519
122,1650,675,82500,-177.96507096000002,50.0,0.144223742634058,0.0001,78400,14.186069612503053
122,1660,678,83000,-179.58678824999998,50.0,0.031286681769415736,0.0001,78800,14.213438034057617
122,1670,684,83500,-174.37929301,50.0,0.03506192945875228,0.0001,79400,14.277124519348144
122,1680,687,84000,-175.4860273500001,50.0,0.20940573014318942,0.0001,79800,14.346795282363892
122,1690,692,84500,-172.41317496,50.0,0.03454354505985975,0.0001,80400,14.400664215087891
122,1700,695,85000,-168.08248297000003,50.0,0.03728126573376358,0.0001,80800,14.440230073928833
122,1710,700,85500,-171.60521954,50.0,0.03230193806812167,0.0001,81400,14.489442625045776
122,1720,703,86000,-173.03223342,50.0,0.03788011630997062,0.0001,81800,14.630573959350587
122,1730,708,86500,-173.69526712000004,50.0,0.0343596313521266,0.0001,82400,14.643253154754639
122,1740,712,87000,-173.66465679,50.0,0.14199720034375787,0.0001,82800,14.756048583984375
122,1750,717,87500,-168.76985264999996,50.0,0.04008661866188049,0.0001,83400,14.728836660385133
122,1760,720,88000,-178.86504090999998,50.0,0.037110985899344084,0.0001,83800,14.833115491867066
121,1770,725,88500,-184.46116414999997,50.0,0.03655549130402505,0.0001,84400,14.91513321876526
122,1780,729,89000,-183.49154515,50.0,0.07508684940636158,0.0001,84800,14.97053303718567
121,1790,734,89500,-181.30463642000004,50.0,0.03349119762890041,0.0001,85400,15.020272645950318
121,1800,738,90000,-183.40118216,50.0,0.03570100368000567,0.0001,85800,15.067484245300292
121,1810,743,90500,-184.54952124999997,50.0,0.03878198467195034,0.0001,86400,15.158053092956543
121,1820,747,91000,-188.68875563999995,50.0,0.04236921427771449,0.0001,86800,15.254732799530029
121,1830,752,91500,-188.38260878999998,50.0,0.042812025099992754,0.0001,87400,15.308816633224488
121,1840,755,92000,-189.51862175999997,50.0,0.04587646508589387,0.0001,87800,15.398191270828248
121,1850,761,92500,-190.92817470000003,50.0,0.0380650152079761,0.0001,88400,15.424517488479614
121,1860,764,93000,-183.28641721,50.0,0.0623388004116714,0.0001,88800,15.469208488464355
121,1870,769,93500,-174.26752455,50.0,0.03587575329467654,0.0001,89400,15.531411180496216
121,1880,772,94000,-173.87807104,50.0,0.11236242074519395,0.0001,89800,15.61773826599121
121,1890,777,94500,-168.63501864999998,50.0,0.037932193223387006,0.0001,90400,15.596377792358398
121,1900,781,95000,-164.30697661,50.0,0.044462242852896454,0.0001,90800,15.645161848068238
121,1910,786,95500,-160.13764491999999,50.0,0.03860615309327841,0.0001,91400,15.706753072738648
121,1920,789,96000,-157.03784000999997,50.0,0.21839694088324904,0.0001,91800,15.796489458084107
121,1930,794,96500,-165.07329744999998,50.0,0.0375546589307487,0.0001,92400,15.894079780578613
121,1940,798,97000,-165.86253675,50.0,0.0384063389338553,0.0001,92800,15.965486145019531
121,1950,803,97500,-170.44776738000002,50.0,0.039804309960454705,0.0001,93400,16.001180591583253
121,1960,807,98000,-167.82823438,50.0,0.041762504391372204,0.0001,93800,16.117852573394774
121,1970,812,98500,-174.20360476,50.0,0.3312069209292531,0.0001,94400,16.206659688949586
121,1980,815,99000,-171.40358397000003,50.0,0.05685100775212049,0.0001,94800,16.182694883346556
121,1990,820,99500,-175.33004942,50.0,0.03889757513999939,0.0001,95400,16.26053285598755
121,2000,824,100000,-176.72654471,50.0,0.046236112099140886,0.0001,95800,16.280183839797974
121,2010,829,100500,-174.79737644000005,50.0,0.04719209825620055,0.0001,96400,16.3959170627594
121,2020,833,101000,-169.52529309000002,50.0,0.13921415975317358,0.0001,96800,16.421653060913087
121,2030,838,101500,-160.90388258999997,50.0,0.05194451006129384,0.0001,97400,16.43205820083618
121,2040,841,102000,-167.68297600999998,50.0,0.0418781222589314,0.0001,97800,16.519861917495728
121,2050,846,102500,-163.58087389,50.0,0.1810732950642705,0.0001,98400,16.591316719055175
121,2060,850,103000,-162.22316729999997,50.0,0.04412460321560502,0.0001,98800,16.666960916519166
120,2070,856,103500,-170.80067272,50.0,0.04203482262790203,0.0001,99400,16.75139750480652
120,2080,860,104000,-175.77728484999997,50.0,0.06930579541251064,0.0001,99800,16.79284487724304
120,2090,866,104500,-174.53973045000004,50.0,0.05659676106646657,0.0001,100400,16.85044828414917
120,2100,870,105000,-172.45243103,50.0,0.04977544192224741,0.0001,100800,16.927094249725343
120,2110,875,105500,-171.73429534,50.0,0.14348288228735329,0.0001,101400,17.002318630218507
120,2120,878,106000,-178.82767275000006,50.0,0.04761925328522921,0.0001,101800,17.018291091918947
120,2130,883,106500,-179.83679097999996,50.0,0.15613122725859285,0.0001,102400,17.173077983856203
120,2140,887,107000,-173.99120660999998,50.0,0.04674229934811592,0.0001,102800,17.103029766082763
120,2150,892,107500,-172.90830791000005,50.0,0.04677552031353116,0.0001,103400,17.207414741516114
120,2160,896,108000,-171.64312894,50.0,0.047502881903201344,0.0001,103800,17.246123714447023
120,2170,901,108500,-157.5001465,50.0,0.058535292893648144,0.0001,104400,17.261469306945802
120,2180,905,109000,-151.11397484,50.0,0.1222824233956635,0.0001,104800,17.33853828430176
120,2190,910,109500,-153.09390009999998,50.0,0.04604884574189782,0.0001,105400,17.41706422805786
120,2200,913,110000,-159.11846402,50.0,0.059164499081671235,0.0001,105800,17.4265092086792
120,2210,918,110500,-154.57997838,50.0,0.0929697491787374,0.0001,106400,17.54278877258301
120,2220,921,111000,-143.09848939,50.0,0.14119214497506619,0.0001,106800,17.521443519592285
120,2230,926,111500,-143.76405659,50.0,0.04890163173899054,0.0001,107400,17.562161769866943
120,2240,930,112000,-140.93435513999998,50.0,0.06298675887286663,0.0001,107800,17.617006282806397
120,2250,935,112500,-137.07881639,50.0,0.0879500106535852,0.0001,108400,17.71041250228882
120,2260,938,113000,-138.05406323,50.0,0.05706871885806322,0.0001,108800,17.726941680908205
120,2270,943,113500,-141.21142554999997,50.0,0.05183536013588309,0.0001,109400,17.764159164428712
120,2280,947,114000,-137.05526631,50.0,0.06539967615157366,0.0001,109800,17.881318264007568
120,2290,952,114500,-131.07671373,50.0,0.07181329278275371,0.0001,110400,17.83984006881714
120,2300,955,115000,-127.54070491,50.0,0.053707027174532414,0.0001,110800,17.826125164031982
120,2310,961,115500,-129.60408393,50.0,0.05480317033827305,0.0001,111400,17.990734024047853
120,2320,965,116000,-131.20691131,50.0,0.06154996292665601,0.0001,111800,17.99462068557739
119,2330,970,116500,-130.53263370000002,50.0,0.06675334397703409,0.0001,112400,17.995205917358398
120,2340,974,117000,-129.9289791,50.0,0.05570074496790767,0.0001,112800,18.11892686843872
120,2350,979,117500,-129.26706479000003,50.0,0.06606194144114852,0.0001,113400,18.102783203125
120,2360,982,118000,-130.98596792,50.0,0.15342921424657108,0.0001,113800,18.162685203552247
119,2370,987,118500,-127.40984966999999,50.0,0.06073196854442358,0.0001,114400,18.252866954803466
120,2380,991,119000,-132.48014699,50.0,0.1599240217730403,0.0001,114800,18.260486946105956
119,2390,996,119500,-135.83672812999998,50.0,0.06223246484994888,0.0001,115400,18.278823070526123
120,2400,999,120000,-130.55705494999995,50.0,0.06020534047856927,0.0001,115800,18.306272144317628
119,2410,1004,120500,-134.31022823,50.0,0.19665471114218236,0.0001,116400,18.358525791168212
120,2420,1007,121000,-138.35804695000002,50.0,0.075865542255342,0.0001,116800,18.442822818756103
119,2430,1012,121500,-139.17406558000002,50.0,0.2173645529523492,0.0001,117400,18.49856498718262
120,2440,1016,122000,-141.43500781999998,50.0,0.062246023900806906,0.0001,117800,18.50687587738037
119,2450,1021,122500,-146.28163239000003,50.0,0.12573465578258036,0.0001,118400,18.591503162384033
120,2460,1024,123000,-142.71797569999998,50.0,0.0684371186979115,0.0001,118800,18.617228450775148
119,2470,1030,123500,-144.52714299999997,50.0,0.07318889794871211,0.0001,119400,18.757816257476808
119,2480,1033,124000,-144.00024043999997,50.0,0.07726837428286672,0.0001,119800,18.70316780090332
119,2490,1038,124500,-145.55673399,50.0,0.07556259172037244,0.0001,120400,18.798659439086915
119,2500,1041,125000,-148.49930526000003,50.0,0.15025519579648972,0.0001,120800,18.7746004486084
119,2510,1047,125500,-143.78396734,50.0,0.06925615958869458,0.0001,121400,18.948648891448975
119,2520,1051,126000,-142.49681164,50.0,0.07005899518728256,0.0001,121800,18.901548748016356
119,2530,1056,126500,-139.36894861,50.0,0.12282379768788815,0.0001,122400,18.976296024322508
119,2540,1059,127000,-138.14280027999996,50.0,0.07523298036307097,0.0001,122800,18.985938987731934
119,2550,1064,127500,-141.23884835,50.0,0.07965096227824688,0.0001,123400,19.007335319519044
119,2560,1068,128000,-142.30725373,50.0,0.29487124890089034,0.0001,123800,19.073915157318115
119,2570,1073,128500,-139.22790185999997,50.0,0.07372518990188837,0.0001,124400,19.141167755126954
119,2580,1076,129000,-141.7916703,50.0,0.079760269112885,0.0001,124800,19.203647708892824
119,2590,1081,129500,-138.74653327000004,50.0,0.07961729675531387,0.0001,125400,19.266200141906737
119,2600,1084,130000,-137.57028075,50.0,0.08649159766733647,0.0001,125800,19.281617202758788
119,2610,1089,130500,-135.15290746000005,50.0,0.08796162936836481,0.0001,126400,19.346837253570556
119,2620,1093,131000,-136.58540004999998,50.0,0.23702766478061676,0.0001,126800,19.366737651824952
119,2630,1099,131500,-132.31225129999999,50.0,0.0819389222189784,0.0001,127400,19.31648021697998
119,2640,1103,132000,-131.11948677999996,50.0,0.08260499872267246,0.0001,127800,19.437425651550292
119,2650,1108,132500,-123.02783987000001,50.0,0.08860910058021546,0.0001,128400,19.47190631866455
119,2660,1112,133000,-122.48352623,50.0,0.09351896107196808,0.0001,128800,19.47756587982178
119,2670,1117,133500,-124.82106930999998,50.0,0.16773831319063903,0.0001,129400,19.47067377090454
119,2680,1120,134000,-122.10450245000001,50.0,0.1318591261655092,0.0001,129800,19.632288188934325
119,2690,1126,134500,-122.97687093999998,50.0,0.09007973685860633,0.0001,130400,19.669053821563722
119,2700,1129,135000,-126.96196592,50.0,0.09402094207704068,0.0001,130800,19.711267585754396
119,2710,1134,135500,-131.36841295000002,50.0,0.14648250866681337,0.0001,131400,19.775575485229492
119,2720,1138,136000,-130.90125867999998,50.0,0.09424958866089582,0.0001,131800,19.748524436950685
119,2730,1144,136500,-134.97524734,50.0,0.13127931267023085,0.0001,132400,19.73901485443115
119,2740,1147,137000,-132.95732435,50.0,0.10339286506175994,0.0001,132800,19.864285259246827
119,2750,1154,137500,-133.00421188,50.0,0.10423627000302077,0.0001,133400,19.893356189727783
119,2760,1158,138000,-129.32868912,50.0,0.11297032129019499,0.0001,133800,19.86789047241211
119,2770,1162,138500,-131.29490173000002,50.0,0.10249776303768159,0.0001,134400,19.938383388519288
119,2780,1166,139000,-133.28737390000003,50.0,0.11536627247929573,0.0001,134800,19.948932151794434
119,2790,1171,139500,-128.36184726,50.0,0.10202825598418713,0.0001,135400,20.004155349731445
119,2800,1175,140000,-128.39393764,50.0,0.14135376889258622,0.0001,135800,20.090824184417723
118,2810,1180,140500,-121.87607756,50.0,0.12137364014983178,0.0001,136400,20.114684085845948
119,2820,1184,141000,-118.56498738,50.0,0.1082645346969366,0.0001,136800,20.132793216705323
118,2830,1189,141500,-123.24953533,50.0,0.11545563958585263,0.0001,137400,20.21877004623413
119,2840,1192,142000,-124.17044002,50.0,0.11667813804000617,0.0001,137800,20.22576892852783
119,2850,1197,142500,-127.52555118000001,50.0,0.17096917048096658,0.0001,138400,20.297260284423828
119,2860,1200,143000,-129.45934223000003,50.0,0.11966103110462427,0.0001,138800,20.310958137512205
118,2870,1205,143500,-134.85291345,50.0,0.12206022389233112,0.0001,139400,20.41319923400879
119,2880,1209,144000,-134.48840549,50.0,0.18732714954763652,0.0001,139800,20.442243766784667
118,2890,1214,144500,-137.80648631,50.0,0.11857946936041117,0.0001,140400,20.502153301239012
119,2900,1218,145000,-136.6013424,50.0,0.12048170298337936,0.0001,140800,20.504235286712646
118,2910,1222,145500,-136.39475614,50.0,0.1281466570869088,0.0001,141400,20.548028926849366
119,2920,1226,146000,-136.14193488000004,50.0,0.23333707753568889,0.0001,141800,20.57936393737793
118,2930,1231,146500,-127.97283054000002,50.0,0.1302397919818759,0.0001,142400,20.620434703826906
119,2940,1234,147000,-128.91161952000002,50.0,0.1524096395075321,0.0001,142800,20.624557342529297
118,2950,1239,147500,-125.86907551,50.0,0.15833373740315437,0.0001,143400,20.71088581085205
118,2960,1243,148000,-127.93558777,50.0,0.19607558112591505,0.0001,143800,20.7163680267334
118,2970,1249,148500,-115.41897622999998,50.0,0.1346922791004181,0.0001,144400,20.722033424377443
118,2980,1252,149000,-114.30426937,50.0,0.14201112657785417,0.0001,144800,20.747856903076173
